product_name,brand,Category,city,order_date,month,retail_price,discounted_price,discount_pct,discount_band,price_band,units_sold,revenue,product_rating_clean,Rating_Status,,,,,
Carrel Printed Women's,Carrel,Clothing,Mumbai,08-12-2023,2023-12,2499,999,60,50%+,Premium (1500-5000),129,7740,0,Not Rated,,,,,
FabHomeDecor Fabric Double Sofa Bed,FabHomeDecor,Furniture,Mumbai,17-12-2023,2023-12,32157,22646,29.6,10-30%,Luxury (5000+),435,12876,0,Not Rated,,,,,
Sicons Conditioning Conditoner Dog Shampoo,Sicons,Pet Supplies,Mumbai,02-11-2023,2023-11,110,100,9.1,0-10%,Budget (<500),126,1147,0,Not Rated,,,,,
Alisha Solid Women's Cycling Shorts,Alisha,Clothing,Mumbai,18-12-2023,2023-12,500,500,0,0-10%,Mid (500-1500),173,0,0,Not Rated,,,,,
dongli Printed Boy's Round Neck T-Shirt,dongli,Clothing,Bengaluru,26-04-2023,2023-04,2400,1039,56.7,50%+,Premium (1500-5000),239,13551,0,Not Rated,,,,,
SWAGGA Women Clogs,SWAGGA,Footwear,Pune,07-08-2023,2023-08,1500,1500,0,0-10%,Premium (1500-5000),41,0,0,Not Rated,,,,,
Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,Kennel,Pet Supplies,Pune,26-10-2023,2023-10,190,190,0,0-10%,Budget (<500),76,0,0,Not Rated,,,,,
Glus Wedding Lingerie Set,Unknown,Clothing,Hyderabad,19-08-2023,2023-08,1299,699,46.2,30-50%,Mid (500-1500),211,9748,0,Not Rated,,,,,
Veelys Shiny White Quad Roller Skates - Size 4.5 UK,Unknown,Sports & Fitness,Hyderabad,09-09-2023,2023-09,3199,2499,21.9,10-30%,Premium (1500-5000),390,8541,0,Not Rated,,,,,
Bulaky vanity case Jewellery Vanity Case,Unknown,Beauty and Personal Care,Delhi,19-12-2023,2023-12,499,390,21.8,10-30%,Budget (<500),293,6387,3,Rated,,,,,
FDT Women's Leggings,Unknown,Clothing,Hyderabad,03-08-2023,2023-08,699,309,55.8,50%+,Mid (500-1500),213,11885,0,Not Rated,,,,,
Madcaps C38GR30 Men's Cargos,Unknown,Clothing,Hyderabad,09-10-2023,2023-10,2199,1699,22.7,10-30%,Premium (1500-5000),97,2202,0,Not Rated,,,,,
Bengal Blooms Rose Artificial Plant  with Pot,Bengal Blooms,Unknown,Hyderabad,11-11-2023,2023-11,799,579,27.5,10-30%,Mid (500-1500),471,12953,0,Not Rated,,,,,
Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,Indcrown,Clothing,Bengaluru,28-10-2023,2023-10,999,699,30,10-30%,Mid (500-1500),231,6930,0,Not Rated,,,,,
Shopmania Music Band A5 Notebook Spiral Bound,Shopmania,Pens & Stationery,Mumbai,11-08-2023,2023-08,499,275,44.9,30-50%,Budget (<500),271,12168,0,Not Rated,,,,,
Shopmania Music Band A5 Notebook Spiral Bound,Shopmania,Pens & Stationery,Hyderabad,19-11-2023,2023-11,499,275,44.9,30-50%,Budget (<500),428,19217,0,Not Rated,,,,,
"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",Tiara Diaries,Pens & Stationery,Mumbai,22-11-2023,2023-11,1000,837,16.3,10-30%,Mid (500-1500),307,5004,0,Not Rated,,,,,
KAJCI Embroidered Women's Waistcoat,KAJCI,Clothing,Mumbai,10-05-2023,2023-05,1200,699,41.8,30-50%,Mid (500-1500),110,4598,0,Not Rated,,,,,
Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,Packman,Pens & Stationery,Delhi,25-11-2023,2023-11,350,298,14.9,10-30%,Budget (<500),129,1922,0,Not Rated,,,,,
Pick Pocket Embroidered Women's Waistcoat,Pick Pocket,Clothing,Delhi,02-12-2023,2023-12,899,899,0,0-10%,Mid (500-1500),377,0,0,Not Rated,,,,,
Angelfish Silk Potali Potli,Angelfish,"Bags, Wallets & Belts",Chennai,20-11-2023,2023-11,999,399,60.1,50%+,Mid (500-1500),340,20434,0,Not Rated,,,,,
Oye Boy's Dungaree,Oye,Clothing,Hyderabad,26-07-2023,2023-07,899,764,15,10-30%,Mid (500-1500),130,1950,0,Not Rated,,,,,
Nuride Canvas Shoes,Nuride,Footwear,Chennai,06-12-2023,2023-12,1999,1349,32.5,30-50%,Premium (1500-5000),162,5265,0,Not Rated,,,,,
OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,OM SHIVAKRITI,Home Decor & Festive Needs,Mumbai,17-04-2023,2023-04,1499,1499,0,0-10%,Mid (500-1500),334,0,0,Not Rated,,,,,
Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,Himmlisch,Automotive,Delhi,18-04-2023,2023-04,6999,1899,72.9,50%+,Luxury (5000+),447,32586,0,Not Rated,,,,,
Rapter BNC-179 BNC Wire Connector,Rapter,Tools & Hardware,Bengaluru,03-08-2023,2023-08,2299,1400,39.1,30-50%,Premium (1500-5000),95,3715,0,Not Rated,,,,,
Vishudh Printed Women's Straight Kurta,Vishudh,Unknown,Bengaluru,03-08-2023,2023-08,999,499,50.1,50%+,Mid (500-1500),182,9118,0,Not Rated,,,,,
Vishudh Printed Women's Straight Kurta,Vishudh,Unknown,Hyderabad,08-09-2023,2023-09,899,449,50.1,50%+,Mid (500-1500),300,15030,0,Not Rated,,,,,
Vishudh Printed Women's Anarkali Kurta,Vishudh,Unknown,Hyderabad,15-05-2023,2023-05,2099,1049,50,30-50%,Premium (1500-5000),206,10300,0,Not Rated,,,,,
BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,BuildTrack,Unknown,Pune,12-04-2023,2023-04,6500,5000,23.1,10-30%,Luxury (5000+),494,11411,0,Not Rated,,,,,
Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,Skayvon,Unknown,Hyderabad,21-11-2023,2023-11,9990,4990,50.1,50%+,Luxury (5000+),279,13978,0,Not Rated,,,,,
MASARA Solid Women's Straight Kurta,MASARA,Unknown,Pune,18-10-2023,2023-10,1399,599,57.2,50%+,Mid (500-1500),480,27456,0,Not Rated,,,,,
Vishudh Printed Women's Straight Kurta,Vishudh,Unknown,Hyderabad,03-09-2023,2023-09,899,449,50.1,50%+,Mid (500-1500),188,9419,0,Not Rated,,,,,
Rapter BNC-047 BNC Wire Connector,Rapter,Tools & Hardware,Bengaluru,16-09-2023,2023-09,1299,899,30.8,30-50%,Mid (500-1500),497,15308,0,Not Rated,,,,,
Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,Skayvon,Unknown,Delhi,20-12-2023,2023-12,8999,4990,44.5,30-50%,Luxury (5000+),389,17311,0,Not Rated,,,,,
Vishudh Printed Women's Straight Kurta,Vishudh,Unknown,Mumbai,03-07-2023,2023-07,899,449,50.1,50%+,Mid (500-1500),228,11423,0,Not Rated,,,,,
Behringer Xenyx 502 Analog Sound Mixer,Behringer,Unknown,Pune,14-11-2023,2023-11,10000,6600,34,30-50%,Luxury (5000+),441,14994,0,Not Rated,,,,,
Vishudh Printed Women's Straight Kurta,Vishudh,Unknown,Delhi,21-09-2023,2023-09,899,449,50.1,50%+,Mid (500-1500),43,2154,0,Not Rated,,,,,
Vishudh Printed Women's Straight Kurta,Vishudh,Unknown,Hyderabad,24-09-2023,2023-09,899,449,50.1,50%+,Mid (500-1500),119,5962,0,Not Rated,,,,,
MASARA Solid Women's Straight Kurta,MASARA,Unknown,Bengaluru,01-11-2023,2023-11,1399,599,57.2,50%+,Mid (500-1500),108,6178,0,Not Rated,,,,,
MASARA Solid Women's Straight Kurta,MASARA,Unknown,Chennai,08-09-2023,2023-09,1399,550,60.7,50%+,Mid (500-1500),181,10987,0,Not Rated,,,,,
Roadster Men's Zipper Solid Cardigan,Roadster,Clothing,Mumbai,02-12-2023,2023-12,1399,699,50,30-50%,Mid (500-1500),438,21900,3.6,Rated,,,,,
Vishudh Printed Women's Straight Kurta,Vishudh,Unknown,Mumbai,11-12-2023,2023-12,999,499,50.1,50%+,Mid (500-1500),289,14479,0,Not Rated,,,,,
Noor Embroidered Women's Straight Kurta,Noor,Unknown,Chennai,06-07-2023,2023-07,1649,849,48.5,30-50%,Premium (1500-5000),259,12562,0,Not Rated,,,,,
MASARA Solid Women's Straight Kurta,MASARA,Unknown,Bengaluru,24-04-2023,2023-04,1399,599,57.2,50%+,Mid (500-1500),139,7951,0,Not Rated,,,,,
Vishudh Printed Women's Straight Kurta,Vishudh,Unknown,Bengaluru,18-07-2023,2023-07,899,449,50.1,50%+,Mid (500-1500),358,17936,0,Not Rated,,,,,
Libas Printed Women's A-line Kurta,Libas,Unknown,Mumbai,15-09-2023,2023-09,899,449,50.1,50%+,Mid (500-1500),375,18788,0,Not Rated,,,,,
Libas Printed Women's Anarkali Kurta,Libas,Unknown,Delhi,20-04-2023,2023-04,1849,924,50,30-50%,Premium (1500-5000),51,2550,0,Not Rated,,,,,
MASARA Solid Women's Straight Kurta,MASARA,Unknown,Bengaluru,16-12-2023,2023-12,999,499,50.1,50%+,Mid (500-1500),423,21192,0,Not Rated,,,,,
HRS ULTIMATE BOY Chest Pads,HRS,Sports & Fitness,Bengaluru,13-10-2023,2023-10,440,395,10.2,10-30%,Budget (<500),104,1061,0,Not Rated,,,,,
Vermello Men Casual Brown Genuine Leather Belt,Vermello,"Bags, Wallets & Belts",Delhi,11-04-2023,2023-04,1495,795,46.8,30-50%,Mid (500-1500),56,2621,0,Not Rated,,,,,
HRS CLUB BOY Thigh Pads,HRS,Sports & Fitness,Mumbai,13-06-2023,2023-06,280,250,10.7,10-30%,Budget (<500),297,3178,0,Not Rated,,,,,
Ligans NY Men Formal Black Genuine Leather Belt,Ligans NY,"Bags, Wallets & Belts",Mumbai,15-04-2023,2023-04,795,695,12.6,10-30%,Mid (500-1500),140,1764,0,Not Rated,,,,,
Elegance Polyester Multicolor Abstract Eyelet Door Curtain,Elegance,Home Furnishing,Chennai,20-04-2023,2023-04,1899,899,52.7,50%+,Premium (1500-5000),82,4321,0,Not Rated,,,,,
Liza Women Wedges,Liza,Footwear,Delhi,06-04-2023,2023-04,1990,1393,30,10-30%,Premium (1500-5000),129,3870,0,Not Rated,,,,,
HRS ULTIMATE BOY Elbow Pads,HRS,Sports & Fitness,Chennai,26-11-2023,2023-11,250,230,8,0-10%,Budget (<500),410,3280,0,Not Rated,,,,,
Sathiyas Cotton Bath Towel,Sathiyas,Baby Care,Pune,05-11-2023,2023-11,600,449,25.2,10-30%,Mid (500-1500),329,8291,0,Not Rated,,,,,
HRS ULTIMATE MEN Chest Pads,HRS,Sports & Fitness,Mumbai,18-11-2023,2023-11,440,395,10.2,10-30%,Budget (<500),337,3437,0,Not Rated,,,,,
Eurospa Cotton Terry Face Towel Set,Eurospa,Baby Care,Mumbai,18-08-2023,2023-08,500,500,0,0-10%,Mid (500-1500),396,0,0,Not Rated,,,,,
SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,SANTOSH ROYAL FASHION,Home Furnishing,Pune,16-11-2023,2023-11,2699,1299,51.9,50%+,Premium (1500-5000),254,13183,0,Not Rated,,,,,
CASEDEAL Microsoft Nokia lumia x2 Back Panel,CASEDEAL,Mobiles & Accessories,Mumbai,18-07-2023,2023-07,1999,380,81,50%+,Premium (1500-5000),477,38637,0,Not Rated,,,,,
Mario Gotze Women's Printed Casual Orange Shirt,Mario Gotze,Clothing,Pune,12-08-2023,2023-08,1499,899,40,30-50%,Mid (500-1500),468,18720,0,Not Rated,,,,,
Jaipur Print Cotton Floral King sized Double Bedsheet,Jaipur Print,Home Furnishing,Delhi,07-06-2023,2023-06,2599,698,73.1,50%+,Premium (1500-5000),271,19810,0,Not Rated,,,,,
Shilpi NHSCN003 Coin Bank,Shilpi,Pens & Stationery,Pune,14-07-2023,2023-07,900,650,27.8,10-30%,Mid (500-1500),239,6644,0,Not Rated,,,,,
Jaipur Print Cotton Floral King sized Double Bedsheet,Jaipur Print,Home Furnishing,Delhi,25-09-2023,2023-09,2599,698,73.1,50%+,Premium (1500-5000),246,17983,0,Not Rated,,,,,
Babeezworld Dungaree Baby Boy's  Combo,Babeezworld,Baby Care,Pune,15-06-2023,2023-06,999,499,50.1,50%+,Mid (500-1500),360,18036,0,Not Rated,,,,,
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,Redbag,Home Decor & Festive Needs,Mumbai,08-08-2023,2023-08,1600,1200,25,10-30%,Premium (1500-5000),156,3900,0,Not Rated,,,,,
"Proence Weight Gainers, Mass Gainers",Proence,Food & Nutrition,Bengaluru,21-10-2023,2023-10,1025,949,7.4,0-10%,Mid (500-1500),358,2649,0,Not Rated,,,,,
Discountgod Men's Checkered Casual Shirt,Slim,Clothing,Mumbai,19-04-2023,2023-04,750,590,21.3,10-30%,Mid (500-1500),344,7327,0,Not Rated,,,,,
Silver Streak Men's Printed Casual Denim Shirt,Slim,Clothing,Pune,11-06-2023,2023-06,1299,599,53.9,50%+,Mid (500-1500),44,2372,0,Not Rated,,,,,
"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",Unknown,Watches,Delhi,03-05-2023,2023-05,18995,15195,20,10-30%,Luxury (5000+),213,4260,0,Not Rated,,,,,
TEN TEN Women's Black Knee Length Boots Boots,Unknown,Footwear,Pune,13-08-2023,2023-08,4995,1995,60.1,50%+,Premium (1500-5000),140,8414,0,Not Rated,,,,,
"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",Unknown,Watches,Chennai,10-05-2023,2023-05,13699,13099,4.4,0-10%,Luxury (5000+),193,849,0,Not Rated,,,,,
Carlton Boots,Unknown,Footwear,Chennai,15-11-2023,2023-11,3495,1223,65,50%+,Premium (1500-5000),291,18915,0,Not Rated,,,,,
Maserati Time R8851116001 Analog Watch  - For Boys,Unknown,Watches,Hyderabad,18-12-2023,2023-12,24400,24400,0,0-10%,Luxury (5000+),52,0,0,Not Rated,,,,,
"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",Unknown,Watches,Chennai,08-07-2023,2023-07,1095,595,45.7,30-50%,Mid (500-1500),355,16224,0,Not Rated,,,,,
"Camerii WM64 Elegance Analog Watch  - For Men, Boys",Unknown,Watches,Bengaluru,12-10-2023,2023-10,1099,449,59.1,50%+,Mid (500-1500),423,24999,5,Rated,,,,,
Reckler Slim Fit Men's Jeans,Slim,Clothing,Hyderabad,20-05-2023,2023-05,5398,2599,51.9,50%+,Luxury (5000+),229,11885,0,Not Rated,,,,,
Quechua Arpenaz Novadry Boots,Unknown,Footwear,Hyderabad,13-04-2023,2023-04,2499,2250,10,0-10%,Premium (1500-5000),467,4670,0,Not Rated,,,,,
"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",Unknown,Watches,Hyderabad,02-12-2023,2023-12,3999,849,78.8,50%+,Premium (1500-5000),207,16312,5,Rated,,,,,
Steppings Trendy Boots,Unknown,Footwear,Hyderabad,11-10-2023,2023-10,1799,719,60,50%+,Premium (1500-5000),72,4320,0,Not Rated,,,,,
Rochees RW38 Analog Watch  - For Boys,Unknown,Watches,Hyderabad,21-08-2023,2023-08,1415,1202,15.1,10-30%,Mid (500-1500),425,6418,0,Not Rated,,,,,
"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",Unknown,Watches,Bengaluru,11-05-2023,2023-05,1099,399,63.7,50%+,Mid (500-1500),165,10511,5,Rated,,,,,
Catwalk Boots,Unknown,Footwear,Mumbai,13-08-2023,2023-08,2095,999,52.3,50%+,Premium (1500-5000),45,2354,0,Not Rated,,,,,
Magnum Footwear Lifestyle,Unknown,Footwear,Bengaluru,03-10-2023,2023-10,3999,2099,47.5,30-50%,Premium (1500-5000),183,8693,0,Not Rated,,,,,
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,Unknown,Watches,Bengaluru,07-08-2023,2023-08,999,399,60.1,50%+,Mid (500-1500),423,25422,0,Not Rated,,,,,
Rialto Boots,Unknown,Footwear,Chennai,13-05-2023,2023-05,3295,2795,15.2,10-30%,Premium (1500-5000),330,5016,0,Not Rated,,,,,
Kielz Ladies Boots,Unknown,Footwear,Pune,02-04-2023,2023-04,2499,1249,50,30-50%,Premium (1500-5000),268,13400,0,Not Rated,,,,,
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",Unknown,Watches,Pune,16-12-2023,2023-12,5495,4995,9.1,0-10%,Luxury (5000+),486,4423,0,Not Rated,,,,,
La Briza Ashley Boots,Unknown,Footwear,Chennai,18-05-2023,2023-05,2299,2299,0,0-10%,Premium (1500-5000),467,0,0,Not Rated,,,,,
"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",Unknown,Watches,Mumbai,01-11-2023,2023-11,107750,107750,0,0-10%,Luxury (5000+),494,0,0,Not Rated,,,,,
Salt N Pepper 13-019 Femme Black Boots Boots,Unknown,Footwear,Pune,11-05-2023,2023-05,4195,3146,25,10-30%,Premium (1500-5000),442,11050,0,Not Rated,,,,,
Shuz Touch Boots,Unknown,Footwear,Delhi,05-11-2023,2023-11,1499,1270,15.3,10-30%,Mid (500-1500),406,6212,0,Not Rated,,,,,
Wrangler Skanders Fit Men's Jeans,Skanders,Clothing,Delhi,07-05-2023,2023-05,2795,1817,35,30-50%,Premium (1500-5000),264,9240,0,Not Rated,,,,,
Steppings Trendy Boots,Unknown,Footwear,Hyderabad,05-09-2023,2023-09,3199,1919,40,30-50%,Premium (1500-5000),272,10880,0,Not Rated,,,,,
Salt N Pepper 14-664 Denny Black Boots Boots,Unknown,Footwear,Bengaluru,21-04-2023,2023-04,4295,3221,25,10-30%,Premium (1500-5000),247,6175,0,Not Rated,,,,,
"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",Unknown,Watches,Hyderabad,03-09-2023,2023-09,1199,429,64.2,50%+,Mid (500-1500),399,25616,0,Not Rated,,,,,
Crocs Boots,Unknown,Footwear,Bengaluru,19-04-2023,2023-04,3995,3995,0,0-10%,Premium (1500-5000),440,0,0,Not Rated,,,,,
"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",Unknown,Watches,Pune,15-09-2023,2023-09,571230,571230,0,0-10%,Luxury (5000+),309,0,0,Not Rated,,,,,
Lyc White Casual Boots,Unknown,Footwear,Bengaluru,26-10-2023,2023-10,1199,899,25,10-30%,Mid (500-1500),447,11175,5,Rated,,,,,
Myra Comfortable Boots,Unknown,Footwear,Pune,09-11-2023,2023-11,1049,499,52.4,50%+,Mid (500-1500),315,16506,0,Not Rated,,,,,
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",Unknown,Watches,Delhi,26-09-2023,2023-09,2000,699,65.1,50%+,Premium (1500-5000),74,4817,0,Not Rated,,,,,
Get Glamr Designer Uggy Boots,Unknown,Footwear,Pune,28-11-2023,2023-11,3499,2799,20,10-30%,Premium (1500-5000),17,340,0,Not Rated,,,,,
Kielz Ladies Boots,Unknown,Footwear,Chennai,05-10-2023,2023-10,2299,899,60.9,50%+,Premium (1500-5000),365,22229,0,Not Rated,,,,,
Kielz Ladies Boots,Unknown,Footwear,Bengaluru,05-12-2023,2023-12,1999,999,50,30-50%,Premium (1500-5000),140,7000,0,Not Rated,,,,,
Rochees RW50 Analog Watch  - For Boys,Unknown,Watches,Delhi,26-09-2023,2023-09,1120,952,15,10-30%,Mid (500-1500),254,3810,0,Not Rated,,,,,
Kielz Ladies Boots,Unknown,Footwear,Pune,23-07-2023,2023-07,2799,1299,53.6,50%+,Premium (1500-5000),471,25246,0,Not Rated,,,,,
Salt N Pepper 13-516 Greta Red Boots,Unknown,Footwear,Bengaluru,06-12-2023,2023-12,3495,2621,25,10-30%,Premium (1500-5000),99,2475,0,Not Rated,,,,,
Fluid DMF-002-GR01 Digital Watch  - For Boys,Unknown,Watches,Mumbai,05-06-2023,2023-06,1699,849,50,30-50%,Premium (1500-5000),104,5200,3.5,Rated,,,,,
Steppings Trendy Boots,Unknown,Footwear,Pune,16-08-2023,2023-08,1599,639,60,50%+,Premium (1500-5000),351,21060,0,Not Rated,,,,,
Rialto Boots,Unknown,Footwear,Hyderabad,03-09-2023,2023-09,3295,2395,27.3,10-30%,Premium (1500-5000),131,3576,0,Not Rated,,,,,
"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",Unknown,Watches,Pune,07-06-2023,2023-06,1099,399,63.7,50%+,Mid (500-1500),483,30767,0,Not Rated,,,,,
Wrangler Regular Fit Men's Jeans,Regular,Clothing,Pune,20-06-2023,2023-06,3295,1812,45,30-50%,Premium (1500-5000),500,22500,0,Not Rated,,,,,
Steppings Trendy Boots,Unknown,Footwear,Bengaluru,05-12-2023,2023-12,3499,2274,35,30-50%,Premium (1500-5000),84,2940,0,Not Rated,,,,,
"Disney DW100230 Digital Watch  - For Boys, Girls",Unknown,Watches,Delhi,19-05-2023,2023-05,350,350,0,0-10%,Budget (<500),10,0,0,Not Rated,,,,,
Salt N Pepper 13-167 Marsha Red Boots,Unknown,Footwear,Delhi,05-11-2023,2023-11,3695,2771,25,10-30%,Premium (1500-5000),244,6100,0,Not Rated,,,,,
"Cartier W6701005 Analog Watch  - For Boys, Men",Unknown,Watches,Mumbai,23-05-2023,2023-05,201000,201000,0,0-10%,Luxury (5000+),368,0,0,Not Rated,,,,,
Bruno Manetti Cannelita Boots,Unknown,Footwear,Bengaluru,04-12-2023,2023-12,3399,1359,60,50%+,Premium (1500-5000),496,29760,4.4,Rated,,,,,
Stylistry Maxis Shde6603brwoboot3104 Boots,Unknown,Footwear,Mumbai,10-10-2023,2023-10,2199,1599,27.3,10-30%,Premium (1500-5000),435,11876,0,Not Rated,,,,,
"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",Unknown,Watches,Pune,20-08-2023,2023-08,1200,399,66.8,50%+,Mid (500-1500),82,5478,0,Not Rated,,,,,
"Felix Y 39 Analog Watch  - For Boys, Men",Unknown,Watches,Bengaluru,03-08-2023,2023-08,1550,525,66.1,50%+,Premium (1500-5000),289,19103,0,Not Rated,,,,,
Kielz Boots,Unknown,Footwear,Hyderabad,12-07-2023,2023-07,2999,2399,20,10-30%,Premium (1500-5000),18,360,0,Not Rated,,,,,
Kielz Ladies Boots,Unknown,Footwear,Hyderabad,02-09-2023,2023-09,2299,899,60.9,50%+,Premium (1500-5000),10,609,0,Not Rated,,,,,
Sakay Country Leather Boots,Unknown,Footwear,Delhi,01-08-2023,2023-08,3999,3499,12.5,10-30%,Premium (1500-5000),182,2275,0,Not Rated,,,,,
La Briza Black Boots,Unknown,Footwear,Bengaluru,25-06-2023,2023-06,2299,2069,10,0-10%,Premium (1500-5000),441,4410,0,Not Rated,,,,,
"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",Unknown,Watches,Hyderabad,14-07-2023,2023-07,375,263,29.9,10-30%,Budget (<500),30,897,5,Rated,,,,,
"Franck Bella FB0128B Analog Watch  - For Men, Boys",Unknown,Watches,Pune,12-06-2023,2023-06,1199,959,20,10-30%,Mid (500-1500),496,9920,0,Not Rated,,,,,
Steppings Trendy Boots,Unknown,Footwear,Pune,15-12-2023,2023-12,2199,1099,50,30-50%,Premium (1500-5000),23,1150,0,Not Rated,,,,,
"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",Unknown,Watches,Bengaluru,15-06-2023,2023-06,475,333,29.9,10-30%,Budget (<500),335,10017,4,Rated,,,,,
"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",Unknown,Watches,Hyderabad,20-04-2023,2023-04,1095,595,45.7,30-50%,Mid (500-1500),246,11242,0,Not Rated,,,,,
Vencer Stella 7lyt1011 Digital Watch  - For Boys,Unknown,Watches,Bengaluru,06-12-2023,2023-12,399,144,63.9,50%+,Budget (<500),88,5623,0,Not Rated,,,,,
La Briza Mile Boots,Unknown,Footwear,Chennai,03-11-2023,2023-11,3999,3999,0,0-10%,Premium (1500-5000),425,0,0,Not Rated,,,,,
"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",Unknown,Watches,Chennai,08-06-2023,2023-06,3999,899,77.5,50%+,Premium (1500-5000),142,11005,0,Not Rated,,,,,
Sneha Unique Boots,Unknown,Footwear,Pune,08-04-2023,2023-04,1799,899,50,30-50%,Premium (1500-5000),314,15700,0,Not Rated,,,,,
